tutor,month,booked,no_shows,no_show_rate
Grace Adeyemi,2025-12,45,1,0.0222
Grace Adeyemi,2026-01,39,5,0.1282
Grace Adeyemi,2026-02,47,3,0.0638
Owen Fairbanks,2025-12,30,5,0.1667
Owen Fairbanks,2026-01,39,4,0.1026
Owen Fairbanks,2026-02,41,1,0.0244
Lucia Ferreira,2025-12,29,1,0.0345
Lucia Ferreira,2026-01,42,6,0.1429
Lucia Ferreira,2026-02,35,7,0.2000
Samir Qureshi,2025-12,39,1,0.0256
Samir Qureshi,2026-01,43,3,0.0698
Samir Qureshi,2026-02,47,5,0.1064
Hannah Voss,2025-12,41,7,0.1707
Hannah Voss,2026-01,51,2,0.0392
Hannah Voss,2026-02,42,2,0.0476
Theo Lindgren,2025-12,35,4,0.1143
Theo Lindgren,2026-01,41,6,0.1463
Theo Lindgren,2026-02,49,5,0.1020
