Tuition invoices - Spring 2026 term
Invoice No,Family ID,Student,Program,Term,Amount,Due
INV-2026-4001,F-1200,Susan Ward,Toddler,Spring 2026,"$4,800.00",2026-02-10
INV-2026-4003,F-1201,Leila Foster,Toddler,Spring 2026,"$4,800.00",10-Feb-2026
INV-2026-4005,F-1202,Aisha Ortiz,Toddler,Spring 2026,"$4,800.00",02/10/2026
INV-2026-4007,F-1203,Ashley Wright,Toddler,Spring 2026,"$4,800.00",2026-02-10
INV-2026-4009,F-1204,Steven Nguyen,Toddler,Spring 2026,"$4,800.00",10-Feb-2026
INV-2026-4011,F-1205,Elizabeth Bennett,Toddler,Spring 2026,"4,800.00",02/10/2026
INV-2026-4013,F-1206,Laura Hill,Toddler,Spring 2026,"4,800.00",2026-02-10
INV-2026-4015,F-1207,Cynthia Ruiz,Toddler,Spring 2026,"4,800.00",10-Feb-2026
INV-2026-4017,F-1208,Ronald Gomez,Toddler,Spring 2026,"4,800.00",02/10/2026
INV-2026-4019,F-1209,Jessica King,Toddler,Spring 2026,"4,800.00",2026-02-10
INV-2026-4021,F-1210,Mark Green,Toddler,Spring 2026,"$4,800.00",10-Feb-2026
INV-2026-4023,F-1211,Dorothy King,Toddler,Spring 2026,"$4,800.00",02/10/2026
INV-2026-4025,F-1212,George Mensah,Toddler,Spring 2026,"$4,800.00",2026-02-10
INV-2026-4027,F-1213,Kwame Watson,Toddler,Spring 2026,"$4,800.00",10-Feb-2026
INV-2026-4029,F-1214,Eric Martin,Toddler,Spring 2026,"$4,800.00",02/10/2026
INV-2026-4031,F-1215,Christopher Peterson,Toddler,Spring 2026,"4,800.00",2026-02-10
INV-2026-4033,F-1216,Chloe Bennett,Toddler,Spring 2026,"4,800.00",10-Feb-2026
INV-2026-4035,F-1217,Emily Perez,Toddler,Spring 2026,"4,800.00",02/10/2026
INV-2026-4037,F-1218,Mary Wood,Primary,Spring 2026,"5,400.00",2026-02-10
INV-2026-4039,F-1219,David Thomas,Primary,Spring 2026,"5,400.00",10-Feb-2026
INV-2026-4041,F-1220,Luis Baker,Primary,Spring 2026,"$5,400.00",02/10/2026
INV-2026-4043,F-1221,Patricia Hernandez,Primary,Spring 2026,"$5,400.00",2026-02-10
INV-2026-4045,F-1222,Emily Clark,Primary,Spring 2026,"$5,400.00",10-Feb-2026
INV-2026-4047,F-1223,Timothy Phillips,Primary,Spring 2026,"$5,400.00",02/10/2026
INV-2026-4049,F-1224,Hiroshi Cruz,Primary,Spring 2026,"$5,400.00",2026-02-10
INV-2026-4051,F-1225,Ingrid Gonzalez,Primary,Spring 2026,"5,400.00",10-Feb-2026
INV-2026-4053,F-1226,Mateo Ruiz,Primary,Spring 2026,"5,400.00",02/10/2026
INV-2026-4055,F-1227,Joseph Howard,Primary,Spring 2026,"5,400.00",2026-02-10
INV-2026-4057,F-1228,Amara Brooks,Primary,Spring 2026,"5,400.00",10-Feb-2026
INV-2026-4059,F-1229,Yuki Campbell,Primary,Spring 2026,"5,400.00",02/10/2026
INV-2026-4061,F-1230,Nancy Gonzalez,Primary,Spring 2026,"$5,400.00",2026-02-10
INV-2026-4063,F-1231,Gary Rogers,Primary,Spring 2026,"$5,400.00",10-Feb-2026
INV-2026-4065,F-1232,Rahul Harris,Primary,Spring 2026,"$5,400.00",02/10/2026
INV-2026-4067,F-1233,Paul Edwards,Primary,Spring 2026,"$5,400.00",2026-02-10
INV-2026-4069,F-1234,Sofia Ramirez,Primary,Spring 2026,"$5,400.00",10-Feb-2026
INV-2026-4071,F-1235,Gary Mensah,Primary,Spring 2026,"5,400.00",02/10/2026
INV-2026-4073,F-1236,Andrew Cook,Primary,Spring 2026,"5,400.00",2026-02-10
INV-2026-4075,F-1237,Steven Wilson,Primary,Spring 2026,"5,400.00",10-Feb-2026
INV-2026-4077,F-1238,Jessica Lopez,Primary,Spring 2026,"5,400.00",02/10/2026
INV-2026-4079,F-1239,Emily Scott,Primary,Spring 2026,"5,400.00",2026-02-10
INV-2026-4081,F-1240,Jessica Brown,Primary,Spring 2026,"$5,400.00",10-Feb-2026
INV-2026-4083,F-1241,Christopher Long,Primary,Spring 2026,"$5,400.00",02/10/2026
INV-2026-4085,F-1242,Edward Anderson,Primary,Spring 2026,"$5,400.00",2026-02-10
INV-2026-4087,F-1243,Nadia Ortiz,Primary,Spring 2026,"$5,400.00",10-Feb-2026
INV-2026-4089,F-1244,Amara Lopez,Lower Elementary,Spring 2026,"$6,200.00",02/10/2026
