Pay week (Sun-Sat),Shift date,Employee,Hours
2026-07-26,2026-07-26,Leila Mensah,6.00
2026-07-26,2026-07-26,Omar Haddad,8.00
2026-07-26,2026-07-26,Amara Cole,6.00
2026-07-26,2026-07-26,Mateo Ruiz,8.00
2026-07-26,2026-07-28,Yuki Tanaka,8.00
2026-07-26,2026-07-28,Marcus Bennett,6.00
2026-07-26,2026-07-28,Amara Cole,9.00
2026-07-26,2026-07-28,Kwame Osei,6.00
2026-07-26,2026-07-28,Omar Haddad,7.50
2026-07-26,2026-07-28,Sofia Castillo,9.00
2026-07-26,2026-07-29,Omar Haddad,8.00
2026-07-26,2026-07-29,Kwame Osei,5.50
2026-07-26,2026-07-29,Dmitri Petrov,7.50
2026-07-26,2026-07-29,Amara Cole,5.50
2026-07-26,2026-07-29,Leila Mensah,9.00
2026-07-26,2026-07-29,Marcus Bennett,8.00
2026-07-26,2026-07-30,Dmitri Petrov,7.50
2026-07-26,2026-07-30,Ingrid Lindqvist,9.00
2026-07-26,2026-07-30,Jonah Reed,6.00
2026-07-26,2026-07-30,Sofia Castillo,9.00
2026-07-26,2026-07-30,Omar Haddad,8.00
2026-07-26,2026-07-30,Marcus Bennett,6.00
2026-07-26,2026-07-31,Yuki Tanaka,5.50
2026-07-26,2026-07-31,Dmitri Petrov,9.00
2026-07-26,2026-07-31,Mateo Ruiz,9.00
2026-07-26,2026-07-31,Leila Mensah,6.00
2026-07-26,2026-07-31,Ingrid Lindqvist,6.00
2026-07-26,2026-07-31,Omar Haddad,6.00
2026-07-26,2026-08-01,Mateo Ruiz,8.00
2026-07-26,2026-08-01,Marcus Bennett,8.00
2026-07-26,2026-08-01,Jonah Reed,9.00
2026-07-26,2026-08-01,Leila Mensah,5.50
2026-07-26,2026-08-01,Amara Cole,5.50
2026-07-26,2026-08-01,Omar Haddad,8.00
2026-07-26,2026-08-01,Dmitri Petrov,7.50
2026-07-26,2026-08-01,Kwame Osei,8.00
2026-07-26,2026-08-01,Sofia Castillo,5.50
2026-08-02,2026-08-02,Leila Mensah,8.00
2026-08-02,2026-08-02,Kwame Osei,8.00
2026-08-02,2026-08-02,Ingrid Lindqvist,6.00
2026-08-02,2026-08-02,Yuki Tanaka,6.00
2026-08-02,2026-08-04,Kwame Osei,9.00
2026-08-02,2026-08-04,Marcus Bennett,7.50
2026-08-02,2026-08-04,Mateo Ruiz,6.00
2026-08-02,2026-08-04,Leila Mensah,7.50
2026-08-02,2026-08-04,Yuki Tanaka,8.00
2026-08-02,2026-08-04,Jonah Reed,5.50
2026-08-02,2026-08-05,Mateo Ruiz,8.00
2026-08-02,2026-08-05,Ingrid Lindqvist,8.00
2026-08-02,2026-08-05,Omar Haddad,6.00
2026-08-02,2026-08-05,Sofia Castillo,8.00
2026-08-02,2026-08-05,Yuki Tanaka,9.00
2026-08-02,2026-08-05,Jonah Reed,7.50
2026-08-02,2026-08-06,Dmitri Petrov,7.50
2026-08-02,2026-08-06,Marcus Bennett,8.00
2026-08-02,2026-08-06,Jonah Reed,8.00
2026-08-02,2026-08-06,Omar Haddad,9.00
2026-08-02,2026-08-06,Ingrid Lindqvist,5.50
2026-08-02,2026-08-06,Yuki Tanaka,8.00
2026-08-02,2026-08-07,Marcus Bennett,6.00
2026-08-02,2026-08-07,Leila Mensah,5.50
2026-08-02,2026-08-07,Amara Cole,8.00
2026-08-02,2026-08-07,Sofia Castillo,7.50
2026-08-02,2026-08-07,Kwame Osei,9.00
2026-08-02,2026-08-07,Ingrid Lindqvist,8.00
2026-08-02,2026-08-08,Amara Cole,8.00
2026-08-02,2026-08-08,Leila Mensah,5.50
2026-08-02,2026-08-08,Mateo Ruiz,6.00
2026-08-02,2026-08-08,Sofia Castillo,8.00
2026-08-02,2026-08-08,Dmitri Petrov,8.00
2026-08-02,2026-08-08,Marcus Bennett,7.50
2026-08-02,2026-08-08,Ingrid Lindqvist,9.00
2026-08-02,2026-08-08,Kwame Osei,6.00
2026-08-02,2026-08-08,Jonah Reed,8.00
2026-08-09,2026-08-09,Kwame Osei,9.00
2026-08-09,2026-08-09,Jonah Reed,7.50
2026-08-09,2026-08-09,Amara Cole,6.00
2026-08-09,2026-08-09,Yuki Tanaka,7.50
2026-08-09,2026-08-09,Mateo Ruiz,8.00
2026-08-09,2026-08-11,Marcus Bennett,5.50
2026-08-09,2026-08-11,Yuki Tanaka,8.00
2026-08-09,2026-08-11,Jonah Reed,8.00
2026-08-09,2026-08-11,Dmitri Petrov,5.50
2026-08-09,2026-08-11,Leila Mensah,5.50
