Asset Tag,Employee,Email,Assigned On,Returned On,Assigned By
IT-302,Laura Williams,lwilliams@calderfreight.com,11-Mar-2019,,kpatel
IT-004458,James Chavez,jchavez@calderfreight.com,2019-03-21,,IT Helpdesk
IT-003469,John Adams,jadams@calderfreight.com,03/31/2019,"December 30, 2020",IT Helpdesk
IT-000549,Andrew Gray,agray@calderfreight.com,2019-04-18,26-Dec-2024,IT Helpdesk
IT-000258,Gary Stewart,gstewart@calderfreight.com,05/03/2019,06/11/2020,IT Helpdesk
IT-004510,Priya Scott,pscott@calderfreight.com,"May 22, 2019",15-Jul-2021,jmorales
339,George Sanchez,gsanchez@calderfreight.com,05/27/19,"November 08, 2023",jmorales
IT-002955,Nadia Ruiz,nruiz@calderfreight.com,14-Jun-2019,12/13/2024,IT Helpdesk
2979,Dmitri Davis,ddavis@calderfreight.com,06/14/19,2026-04-30,jmorales
1174,Michael Cooper,mcooper@calderfreight.com,06/15/19,,kpatel
IT-002409,Michael Lewis,mlewis@calderfreight.com,23-Jun-2019,"November 07, 2024",kpatel
IT-3223,Dana Nguyen,dnguyen@calderfreight.com,"June 29, 2019",03-Jun-2025,kpatel
IT-002932,James Campbell,jcampbell@calderfreight.com,07/27/2019,"July 04, 2023",IT Helpdesk
IT-001519,Sarah Peterson,speterson@calderfreight.com,08/04/2019,,jmorales
IT-2116,Ryan Perez,rperez@calderfreight.com,10-Aug-2019,"January 29, 2026",jmorales
IT-000324,Edward Martinez,emartinez@calderfreight.com,25-Aug-2019,"January 01, 2026",kpatel
004176,Carlos Campbell,ccampbell@calderfreight.com,2019-09-15,07/10/2021,it-helpdesk
IT-000306,George Hernandez,ghernandez@calderfreight.com,10/07/19,,kpatel
IT-001700,Paul Collins,pcollins@calderfreight.com,"October 10, 2019",20-Oct-2025,IT Helpdesk
003434,Andrew Robinson,arobinson@calderfreight.com,"October 17, 2019",12/22/2024,kpatel
IT-004255,Jonathan Hughes,jhughes@calderfreight.com,"October 22, 2019",,it-helpdesk
IT-1099,Amanda Bennett,abennett@calderfreight.com,11/09/2019,22-Jul-2026,it-helpdesk
IT-3195,Sarah Thompson,sthompson@calderfreight.com,12/02/2019,2024-11-03,jmorales
IT-003453,Betty Brooks,bbrooks@calderfreight.com,2019-12-28,28-Apr-2026,jmorales
2396,Paul Scott,pscott@calderfreight.com,"January 12, 2020",06/29/26,kpatel
IT-004263,Steven Lewis,slewis@calderfreight.com,01/17/2020,05/06/21,it-helpdesk
IT-1900,Aisha Castillo,acastillo@calderfreight.com,01/26/2020,2025-03-01,IT Helpdesk
IT-003917,Christopher Reyes,creyes@calderfreight.com,01/26/2020,2022-11-04,IT Helpdesk
IT-004543,Paul Nelson,pnelson@calderfreight.com,06-Feb-2020,,it-helpdesk
IT-002418,Elizabeth Martin,emartin@calderfreight.com,02/10/20,01/01/2023,it-helpdesk
IT-003686,Ryan Nelson,rnelson@calderfreight.com,02/17/2020,08/24/25,IT Helpdesk
003653,Emily Miller,emiller@calderfreight.com,05-Mar-2020,"May 26, 2024",IT Helpdesk
IT-001666,Patricia Campbell,pcampbell@calderfreight.com,"March 08, 2020",,jmorales
004281,Marcus Osei,mosei@calderfreight.com,"March 23, 2020",08-May-2025,it-helpdesk
IT-003063,Jessica Edwards,jedwards@calderfreight.com,06-Apr-2020,,IT Helpdesk
IT-003786,Kimberly Clark,kclark@calderfreight.com,05/16/20,2023-08-26,jmorales
IT-3035,Emily Miller,emiller@calderfreight.com,"May 18, 2020",12/20/2022,it-helpdesk
IT-004070,Betty Brooks,bbrooks@calderfreight.com,"June 13, 2020",2024-06-02,it-helpdesk
IT-3955,James Campbell,jcampbell@calderfreight.com,06/29/20,2024-07-23,kpatel
IT-2648,Hiroshi Miller,hmiller@calderfreight.com,2020-07-18,,IT Helpdesk
IT-000777,Kwame Green,kgreen@calderfreight.com,30-Jul-2020,09/13/24,jmorales
IT-002861,Angela Scott,ascott@calderfreight.com,2020-08-02,"October 19, 2022",it-helpdesk
IT-000705,Laura Williams,lwilliams@calderfreight.com,08/03/2020,08/12/23,kpatel
000300,Lisa Adams,ladams@calderfreight.com,"September 26, 2020",16-Sep-2022,IT Helpdesk
IT-000611,Sandra Adams,sadams@calderfreight.com,16-Oct-2020,,IT Helpdesk
3143,Barbara Hill,bhill@calderfreight.com,2020-10-30,09/14/23,kpatel
IT-002001,Amanda Parker,aparker@calderfreight.com,2020-12-01,,kpatel
IT-000673,Kwame Hill,khill@calderfreight.com,12/14/20,"March 01, 2022",IT Helpdesk
IT-1037,Charles Rivera,crivera@calderfreight.com,12/27/2020,"January 07, 2022",kpatel
IT-003116,Charles Patel,cpatel@calderfreight.com,01/02/21,05-Mar-2022,it-helpdesk
IT-003097,Emily Miller,emiller@calderfreight.com,08-Jan-2021,,IT Helpdesk
IT-1893,Jonathan Hughes,jhughes@calderfreight.com,06-Feb-2021,22-Jul-2026,kpatel
IT-001837,Jeffrey Flores,jflores@calderfreight.com,02/10/2021,07/06/21,kpatel
IT-000485,Amanda Edwards,aedwards@calderfreight.com,02/11/2021,,jmorales
IT-001293,Steven Martin,smartin@calderfreight.com,2021-02-13,19-Sep-2025,IT Helpdesk
IT-002748,Dorothy Ramirez,dramirez@calderfreight.com,"February 19, 2021",,it-helpdesk
1053,Nancy Carter,ncarter@calderfreight.com,"February 22, 2021",2022-05-07,it-helpdesk
4095,Tomasz Thomas,tthomas@calderfreight.com,27-Feb-2021,,kpatel
IT-000093,Hiroshi Miller,hmiller@calderfreight.com,03/18/2021,16-Apr-2024,kpatel
IT-001078,Paul Mendoza,pmendoza@calderfreight.com,03/26/21,08/02/2026,IT Helpdesk
IT-003413,Ryan Nelson,rnelson@calderfreight.com,03-Apr-2021,01/04/2026,it-helpdesk
IT-2489,Susan Alvarez,salvarez@calderfreight.com,04/20/2021,,it-helpdesk
IT-000263,Dorothy Rogers,drogers@calderfreight.com,04/25/2021,"June 15, 2025",it-helpdesk
000277,Amanda Edwards,aedwards@calderfreight.com,2021-05-05,2025-06-23,IT Helpdesk
IT-004263,Sandra Okafor,sokafor@calderfreight.com,05/12/2021,,kpatel
IT-000179,Kevin Reed,kreed@calderfreight.com,05/17/21,05-Jul-2025,it-helpdesk
IT-3470,Marcus Gomez,mgomez@calderfreight.com,05/29/2021,"October 22, 2022",jmorales
IT-003479,Elizabeth Harris,eharris@calderfreight.com,06/20/21,"July 25, 2022",jmorales
IT-001837,Nancy Morris,nmorris@calderfreight.com,13-Jul-2021,,jmorales
IT-004352,Tomasz Hall,thall@calderfreight.com,"July 13, 2021",2023-11-13,jmorales
IT-004510,William White,wwhite@calderfreight.com,2021-07-19,,IT Helpdesk
