Confirmation Code,Listing,Guest,Channel,Check-in,Check-out,Nights,Status,Payout (USD)
HM8KBCX3,Aspen Hollow - 2BR w/ hot tub,Lisa Lee,Direct,12/13/2025,12/17/2025,4,Confirmed,1293.01
HMAYDE83,Cedar Loft | studio near lifts,Stephanie Foster,Vrbo,12/13/2025,12/17/2025,4,Confirmed,646.13
HM32RMLC,Fox Den Cabin - dog friendly,Michael Stewart,Airbnb,Dec 13 2025,Dec 15 2025,2,Confirmed,417.31
HMBYMUBC,Fox Den Cabin - dog friendly,Wei Brown,Airbnb,Dec 16 2025,Dec 19 2025,3,Confirmed,762.28
HMRQ1EZH,Cedar Loft | studio near lifts,Melissa Flores,Direct,2025-12-17,2025-12-20,3,Checked out,477.70
HMERQNGA,Aspen Hollow - 2BR w/ hot tub,Stephanie Rivera,Airbnb,Dec 18 2025,Dec 22 2025,4,Confirmed,1128.60
HM1F8TQD,"Bear Creek Lodge (6BR, sleeps 14)",Timothy Reyes,Vrbo,2025-12-18,2025-12-21,3,Checked out,1936.99
HM99913J,Fox Den Cabin - dog friendly,Michael Sanchez,Airbnb,Dec 19 2025,Dec 23 2025,4,Checked out,1052.75
HMK3J5ZD,Cedar Loft | studio near lifts,Dorothy Cruz,Direct,2025-12-21,2025-12-28,7,Confirmed,981.47
HMM9434L,Summit A-Frame 3BR,Amara Ortiz,Airbnb,2025-12-21,2025-12-26,5,Confirmed,1908.89
HM7JYKBS,Fox Den Cabin - dog friendly,Nadia Ortiz,Airbnb,Dec 24 2025,Dec 26 2025,2,Checked out,428.16
HMMK2S46,Aspen Hollow - 2BR w/ hot tub,Luis Roberts,Airbnb,Dec 26 2025,Dec 29 2025,3,Confirmed,827.52
HM5N33TQ,"Bear Creek Lodge (6BR, sleeps 14)",Wei Reyes,Airbnb,2025-12-26,2025-12-29,3,Checked out,2073.47
HMYC1B3V,Summit A-Frame 3BR,Tomasz Perez,Direct,2025-12-27,2025-12-30,3,Checked out,1300.38
HMB6STR5,Cedar Loft | studio near lifts,Kenneth Carter,Airbnb,2025-12-28,2025-12-30,2,Confirmed,364.93
HM5Z95RL,Aspen Hollow - 2BR w/ hot tub,Shirley Torres,Airbnb,Dec 29 2025,Jan 04 2026,6,Checked out,1533.54
HM5UZ2H8,Summit A-Frame 3BR,Deborah Stewart,Vrbo,2025-12-30,2026-01-03,4,Checked out,1613.89
HMR0H359,"Bear Creek Lodge (6BR, sleeps 14)",Carlos Cruz,Airbnb,Dec 31 2025,Jan 05 2026,5,Checked out,4000.13
HM5F04ZY,Fox Den Cabin - dog friendly,James Taylor,Airbnb,01/01/2026,01/06/2026,5,Checked out,1108.81
HMLKQM24,Cedar Loft | studio near lifts,Brian Perez,Vrbo,2026-01-02,2026-01-04,2,Checked out,279.40
HM7M2SW1,Cedar Loft | studio near lifts,Mary Cooper,Vrbo,01/04/2026,01/08/2026,4,Checked out,589.46
HMVSWA1C,Aspen Hollow - 2BR w/ hot tub,Owner stay,Owner,2026-01-05,2026-01-10,5,Confirmed,0.00
HMP5GHAZ,Summit A-Frame 3BR,Jeffrey Harris,Direct,Jan 05 2026,Jan 07 2026,2,Checked out,861.91
HMWW1MWF,Fox Den Cabin - dog friendly,John Flores,Vrbo,Jan 07 2026,Jan 09 2026,2,Cancelled,238.07
HM961R4G,Fox Den Cabin - dog friendly,Margaret Mensah,Airbnb,2026-01-08,2026-01-10,2,Checked out,496.71
HMBYBV7J,"Bear Creek Lodge (6BR, sleeps 14)",Amy Wood,Airbnb,01/10/2026,01/17/2026,7,Checked out,5015.49
HMDAX16A,Summit A-Frame 3BR,Michelle Martinez,Airbnb,2026-01-10,2026-01-12,2,Checked out,749.46
HM6PQWLX,Cedar Loft | studio near lifts,Anna Torres,Direct,2026-01-11,2026-01-14,3,Confirmed,499.84
HMV175TF,Fox Den Cabin - dog friendly,Amanda Richardson,Direct,01/11/2026,01/13/2026,2,Confirmed,538.20
HM8PZRZZ,Aspen Hollow - 2BR w/ hot tub,Kathleen Scott,Direct,01/12/2026,01/14/2026,2,Checked out,527.89
HMMRQP5R,Cedar Loft | studio near lifts,George Green,Airbnb,Jan 14 2026,Jan 17 2026,3,Confirmed,541.37
HM1TP8LA,Aspen Hollow - 2BR w/ hot tub,Marcus Chavez,Direct,01/15/2026,01/19/2026,4,Checked out,1092.16
HM16ZMNM,Fox Den Cabin - dog friendly,Angela Wilson,Airbnb,2026-01-16,2026-01-20,4,Confirmed,996.61
HM7AJPPA,"Bear Creek Lodge (6BR, sleeps 14)",Elizabeth King,Vrbo,01/19/2026,01/24/2026,5,Checked out,3388.50
HMF5NMT1,Summit A-Frame 3BR,Mark Tanaka,Airbnb,01/19/2026,01/21/2026,2,Checked out,822.62
HMBAZHVC,Summit A-Frame 3BR,Anthony Morgan,Vrbo,2026-01-21,2026-01-23,2,Confirmed,685.96
HMZ60HE5,Summit A-Frame 3BR,Ingrid Campbell,Airbnb,01/22/2026,01/25/2026,3,Cancelled,0.00
HMMK5ETK,Aspen Hollow - 2BR w/ hot tub,Dana Ross,Airbnb,Jan 23 2026,Jan 26 2026,3,Confirmed,922.10
HM6E9UUB,Cedar Loft | studio near lifts,Charles Haddad,Airbnb,Jan 23 2026,Jan 26 2026,3,Confirmed,455.71
HMPE2JMV,Fox Den Cabin - dog friendly,Daniel Carter,Airbnb,01/24/2026,01/27/2026,3,Checked out,676.24
HM5NCX5D,Cedar Loft | studio near lifts,Barbara Mendoza,Airbnb,Jan 25 2026,Jan 29 2026,4,Cancelled,0.00
HMKQYVGN,Cedar Loft | studio near lifts,Rebecca Campbell,Vrbo,01/26/2026,01/30/2026,4,Confirmed,561.12
HMKQBWHT,Summit A-Frame 3BR,Betty Green,Airbnb,01/26/2026,01/30/2026,4,Checked out,1475.26
HMGZE8JY,"Bear Creek Lodge (6BR, sleeps 14)",Aisha Chavez,Direct,Jan 27 2026,Feb 03 2026,7,Confirmed,5067.34
HMJ3NVBB,"Bear Creek Lodge (6BR, sleeps 14)",Kathleen Garcia,Airbnb,01/27/2026,02/04/2026,8,Cancelled,0.00
HMXKEDJ7,Aspen Hollow - 2BR w/ hot tub,Jonathan Richardson,Airbnb,Jan 29 2026,Feb 03 2026,5,Checked out,1383.41
HM2Y6UVE,Cedar Loft | studio near lifts,Ashley Alvarez,Airbnb,2026-02-03,2026-02-06,3,Confirmed,512.84
HMKHAFKY,Fox Den Cabin - dog friendly,Charles Diaz,Airbnb,02/04/2026,02/06/2026,2,Checked out,465.33
HMKVJFQQ,"Bear Creek Lodge (6BR, sleeps 14)",Angela Brooks,Airbnb,Feb 05 2026,Feb 10 2026,5,Confirmed,3482.42
HMXFM3P2,Summit A-Frame 3BR,Chloe Baker,Direct,Feb 05 2026,Feb 08 2026,3,Checked out,1019.77
HMCX37YM,Aspen Hollow - 2BR w/ hot tub,Yuki Johnson,Vrbo,02/06/2026,02/13/2026,7,Checked out,1973.78
HM9HCJ0K,"Bear Creek Lodge (6BR, sleeps 14)",Carol Walker,Airbnb,Feb 06 2026,Feb 11 2026,5,Cancelled,1862.50
HM2QTHF8,Cedar Loft | studio near lifts,Amanda Mitchell,Airbnb,02/07/2026,02/14/2026,7,Confirmed,1241.73
HMMNEWJ8,Fox Den Cabin - dog friendly,Richard Bailey,Airbnb,Feb 07 2026,Feb 09 2026,2,Checked out,476.08
HMRR515G,Summit A-Frame 3BR,Dana Williams,Vrbo,Feb 11 2026,Feb 13 2026,2,Confirmed,798.67
HMWQDYG1,"Bear Creek Lodge (6BR, sleeps 14)",Owner stay,Owner,Feb 12 2026,Feb 17 2026,5,Confirmed,0.00
HMBHSYRX,Summit A-Frame 3BR,Margaret Martin,Airbnb,2026-02-13,2026-02-16,3,Checked out,1207.51
HM3QCJLJ,Cedar Loft | studio near lifts,David Parker,Direct,02/15/2026,02/18/2026,3,Confirmed,520.15
HML1KGV3,Summit A-Frame 3BR,David Brooks,Direct,Feb 16 2026,Feb 19 2026,3,Confirmed,1315.44
HM5AH3AG,Fox Den Cabin - dog friendly,Shirley Okafor,Direct,Feb 17 2026,Feb 22 2026,5,Confirmed,1375.28
HMCN3AN0,Aspen Hollow - 2BR w/ hot tub,Aisha Thompson,Airbnb,02/18/2026,02/20/2026,2,Confirmed,487.43
HMWKMTTS,"Bear Creek Lodge (6BR, sleeps 14)",Nicholas Watson,Airbnb,Feb 18 2026,Feb 25 2026,7,Confirmed,4749.82
HMQ9VV27,"Bear Creek Lodge (6BR, sleeps 14)",Donna Okafor,Airbnb,2026-02-19,2026-02-26,7,Cancelled,2626.97
HM60U1M2,Summit A-Frame 3BR,Amy Morris,Airbnb,02/19/2026,02/21/2026,2,Checked out,698.40
HMU593WE,Cedar Loft | studio near lifts,Carol Gutierrez,Airbnb,2026-02-21,2026-02-23,2,Checked out,304.45
HMAS25F8,Fox Den Cabin - dog friendly,Rebecca Price,Airbnb,2026-02-22,2026-02-25,3,Confirmed,763.00
HM69TLPZ,Cedar Loft | studio near lifts,Sandra Miller,Direct,Feb 23 2026,Mar 02 2026,7,Checked out,1209.57
HMGQP3J8,Summit A-Frame 3BR,Sandra Sanchez,Vrbo,02/24/2026,02/28/2026,4,Checked out,1602.74
HMN80LEV,Fox Den Cabin - dog friendly,Patricia Cox,Airbnb,02/25/2026,03/01/2026,4,Checked out,877.15
HM5K8FZM,Aspen Hollow - 2BR w/ hot tub,Carlos Cox,Direct,02/26/2026,03/03/2026,5,Confirmed,1598.28
HMQC3C1V,Aspen Hollow - 2BR w/ hot tub,Eric Haddad,Direct,02/27/2026,03/05/2026,6,Cancelled,875.75
HMQL1QNQ,"Bear Creek Lodge (6BR, sleeps 14)",Ryan Bailey,Airbnb,02/28/2026,03/02/2026,2,Confirmed,1449.78
HM8STSLB,Fox Den Cabin - dog friendly,Hiroshi Garcia,Airbnb,Mar 02 2026,Mar 05 2026,3,Checked out,747.09
HM18DD7N,Aspen Hollow - 2BR w/ hot tub,Deborah Bailey,Airbnb,03/04/2026,03/09/2026,5,Confirmed,1328.56
HMWUC5XM,Aspen Hollow - 2BR w/ hot tub,Ryan Long,Airbnb,03/04/2026,03/09/2026,5,Cancelled,0.00
HM4DPZS4,Summit A-Frame 3BR,Shirley Evans,Airbnb,2026-03-04,2026-03-09,5,Confirmed,2034.29
HMS8SDWA,Summit A-Frame 3BR,George Osei,Vrbo,Mar 04 2026,Mar 09 2026,5,Cancelled,0.00
HM2QM06J,"Bear Creek Lodge (6BR, sleeps 14)",Joseph Anderson,Direct,03/08/2026,03/10/2026,2,Confirmed,1594.05
HM3UEMD2,Cedar Loft | studio near lifts,Sofia Green,Airbnb,Mar 08 2026,Mar 10 2026,2,Checked out,328.45
HMEKBBZP,Summit A-Frame 3BR,Kimberly Gray,Airbnb,2026-03-09,2026-03-11,2,Checked out,695.38
HM63XGAE,Aspen Hollow - 2BR w/ hot tub,Gary Mensah,Airbnb,Mar 11 2026,Mar 14 2026,3,Checked out,728.93
HMPB99BK,Fox Den Cabin - dog friendly,Leila Patel,Direct,2026-03-11,2026-03-13,2,Confirmed,485.71
HMBUSHBB,"Bear Creek Lodge (6BR, sleeps 14)",Kenneth Rivera,Airbnb,2026-03-12,2026-03-17,5,Checked out,3421.49
HMYTG0M2,Fox Den Cabin - dog friendly,Dorothy Okafor,Vrbo,Mar 12 2026,Mar 16 2026,4,Cancelled,0.00
HMARPL3C,Fox Den Cabin - dog friendly,Charles Kim,Vrbo,03/13/2026,03/16/2026,3,Confirmed,620.24
HMTGRRDP,Cedar Loft | studio near lifts,Stephanie Hughes,Direct,2026-03-15,2026-03-19,4,Checked out,576.53
HMRMALHN,Fox Den Cabin - dog friendly,Susan Moore,Airbnb,2026-03-16,2026-03-20,4,Confirmed,1035.71
HMRUXFPJ,Aspen Hollow - 2BR w/ hot tub,Kathleen Allen,Airbnb,03/17/2026,03/20/2026,3,Confirmed,846.56
HMRGZ7MP,Summit A-Frame 3BR,Sharon Thomas,Direct,Mar 17 2026,Mar 19 2026,2,Checked out,754.68
HMP0UAFQ,Summit A-Frame 3BR,Timothy Torres,Airbnb,Mar 19 2026,Mar 26 2026,7,Confirmed,2517.56
HMVZUVCV,"Bear Creek Lodge (6BR, sleeps 14)",Lisa Murphy,Direct,03/22/2026,03/24/2026,2,Checked out,1599.58
HMF68JYU,Cedar Loft | studio near lifts,Shirley Edwards,Airbnb,03/22/2026,03/25/2026,3,Checked out,534.55
HM33GMQJ,Fox Den Cabin - dog friendly,Nadia Reyes,Vrbo,2026-03-23,2026-03-27,4,Confirmed,1093.32
HME5FK6B,Aspen Hollow - 2BR w/ hot tub,Elizabeth Hall,Airbnb,Mar 24 2026,Mar 27 2026,3,Confirmed,959.06
HMK0N6Z9,"Bear Creek Lodge (6BR, sleeps 14)",Sarah Castillo,Direct,03/27/2026,03/30/2026,3,Confirmed,2477.99
HMJ3NGXX,Aspen Hollow - 2BR w/ hot tub,Richard Nelson,Airbnb,2026-03-28,2026-04-02,5,Checked out,1517.07
HMV3JRS6,Cedar Loft | studio near lifts,Amara Taylor,Airbnb,2026-03-28,2026-03-30,2,Confirmed,361.99
HMWACAHP,Fox Den Cabin - dog friendly,Carol Price,Vrbo,2026-03-30,2026-04-02,3,Confirmed,795.56
HMUD48QP,"Bear Creek Lodge (6BR, sleeps 14)",Paul Adams,Airbnb,04/01/2026,04/03/2026,2,Confirmed,1267.01
HMRECBH0,Cedar Loft | studio near lifts,Elizabeth Gomez,Vrbo,Apr 01 2026,Apr 04 2026,3,Confirmed,473.91
HMH238BB,Summit A-Frame 3BR,Jonathan Ortiz,Airbnb,04/01/2026,04/06/2026,5,Confirmed,2010.20
HMMHNQFT,Aspen Hollow - 2BR w/ hot tub,Amara Morales,Vrbo,Apr 02 2026,Apr 06 2026,4,Checked out,1126.08
HM9THMVN,Fox Den Cabin - dog friendly,Edward Turner,Airbnb,04/02/2026,04/05/2026,3,Confirmed,710.36
HMFMBAG5,"Bear Creek Lodge (6BR, sleeps 14)",Jacob Harris,Vrbo,2026-04-05,2026-04-07,2,Confirmed,1304.06
HM5BAQXE,Aspen Hollow - 2BR w/ hot tub,Patricia Hernandez,Vrbo,Apr 07 2026,Apr 10 2026,3,Confirmed,771.30
HMRTHLNF,Cedar Loft | studio near lifts,Steven Wilson,Vrbo,04/08/2026,04/12/2026,4,Confirmed,586.35
HM3T7HTK,"Bear Creek Lodge (6BR, sleeps 14)",Sarah Robinson,Vrbo,Apr 09 2026,Apr 11 2026,2,Confirmed,1573.29
HMW0QQN7,Fox Den Cabin - dog friendly,Yuki Price,Vrbo,04/09/2026,04/16/2026,7,Confirmed,1903.92
HM4H71WD,Aspen Hollow - 2BR w/ hot tub,Steven Mendoza,Airbnb,04/11/2026,04/14/2026,3,Confirmed,740.62
HM5C35R2,Summit A-Frame 3BR,Michael Roberts,Direct,2026-04-11,2026-04-18,7,Confirmed,2649.35
