lot,resident,late_fee,balance
A-01,Rebecca Garcia,0.00,0.00
A-02,Kimberly Rogers,0.00,0.00
A-03,Gary Phillips,31.08,31.08
A-04,Joshua Morris,54.50,668.85
A-05,Dorothy Howard,0.00,0.00
A-06,Margaret Cook,0.00,0.00
A-07,Sarah Torres,0.00,0.00
A-08,Sarah Foster,0.00,0.00
A-09,Richard Richardson,0.00,0.00
A-10,Steven Morgan,0.00,71.59
B-01,Marcus Cox,0.00,0.00
B-02,Charles Flores,56.50,56.50
B-04,Richard Myers,0.00,0.00
B-05,Elizabeth Ruiz,0.00,0.00
B-06,Kevin Stewart,0.00,0.00
B-07,Wei Gonzalez,15.00,139.14
B-08,Dorothy Parker,0.00,0.00
B-09,Kenneth Ward,0.00,0.00
B-10,Yuki Clark,0.00,-351.61
C-01,Priya Morris,0.00,0.00
C-02,Jeffrey Gutierrez,0.00,0.00
C-03,Kimberly Davis,41.52,146.89
C-04,Priya Johnson,66.00,66.00
C-06,Barbara Patel,0.00,0.00
C-07,Stephanie Alvarez,0.00,0.00
C-10,Chloe Watson,0.00,0.00
