Res #,Date,Time,Party,Table,Duration (min),Status,Guest,Phone,Notes,Source
R40156,Tue 09/15/2026,5:00 PM,2,T9,105,Confirmed,"Allen, Sofia",+1 (617) 555-7634,,Phone
R40234,Tue 09/15/2026,5:15 PM,1,T11,,Confirmed,"Osei, Dorothy",7205559725,,Online
R40170,Tue 09/15/2026,5:15 PM,2,T4,105,Confirmed,"Long, Tomasz",1-971-555-6873,,Online
R40739,Tue 09/15/2026,5:15 PM,2,T7,,Confirmed,"Ortiz, Aisha",(720) 555-1641,,Online
R40277,Tue 09/15/2026,5:30 PM,5,T6,105,Confirmed,"Reyes, Patricia",(415) 555-3073,,Online
R41012,Tue 09/15/2026,6:00 PM,2,T1,,Confirmed,"Wood, Ashley",(802) 555-7775,,Online
R40593,Tue 09/15/2026,6:00 PM,4,T8,105,Confirmed,"Lee, Michael",802-555-4079,,Online
R40382,Tue 09/15/2026,6:15 PM,2,T2,75,Confirmed,"Mitchell, Joseph",802.555.5721,,Online
R40855,Tue 09/15/2026,6:15 PM,3,T5,,Confirmed,"Young, Jacob",+1 (415) 555-1725,,Online
R40749,Tue 09/15/2026,7:15 PM,6,T10,,Confirmed,"Cooper, Timothy",+1 802 555 2558,,Online
R40421,Tue 09/15/2026,7:15 PM,2,T7,,Confirmed,"Kelly, Susan",+1 (608) 555-9382,,Online
R40996,Tue 09/15/2026,7:15 PM,4,T9,,Confirmed,"Johnson, Ashley",(512) 555-1337,,Online
R40525,Tue 09/15/2026,7:30 PM,2,T11,120,Confirmed,"Evans, Margaret",1-617-555-4230,,Online
R40221,Tue 09/15/2026,7:45 PM,6,T12,,Confirmed,"White, Emily",(802) 555-5832,,Phone
R40373,Tue 09/15/2026,7:45 PM,1,T3,,Confirmed,"Lee, Deborah",1-617-555-3987,,Online
R40842,Tue 09/15/2026,8:00 PM,2,T1,,Confirmed,"Moore, Elizabeth",1-415-555-1343,,Online
R40493,Tue 09/15/2026,8:15 PM,4,T4,105,Confirmed,"Richardson, Sofia",9715553361,,Online
R40959,Tue 09/15/2026,8:15 PM,3,T8,90,Confirmed,"Taylor, Jeffrey",617.555.7964,,Online
R40616,Tue 09/15/2026,8:45 PM,4,T6,90,Confirmed,"Smith, Thomas",1-617-555-3891,,Phone
R40782,Wed 09/16/2026,5:00 PM,5,T10,90,Confirmed,"Clark, James",802.555.2673,,Phone
R40571,Wed 09/16/2026,5:00 PM,3,T5,90,Confirmed,"Perez, Margaret",512-555-1449,,Phone
R40199,Wed 09/16/2026,5:00 PM,2,T7,,Confirmed,"Nguyen, Lisa",(608) 555-1067,,Online
R40179,Wed 09/16/2026,5:15 PM,2,T2,90,Confirmed,"Sanchez, Kenneth",(720) 555-2730,,Phone
R40806,Wed 09/16/2026,5:15 PM,4,T9,,Confirmed,"Mendoza, Anna",(919) 555-6785,,Phone
R40888,Wed 09/16/2026,5:30 PM,2,T11,,Confirmed,"Clark, Kwame",(303) 555-3427,,Online
R40231,Wed 09/16/2026,5:30 PM,2,T4,,Confirmed,"Hughes, Nancy",1-206-555-7993,,Online
