Customer,Contact,Phone,Email,Service Address,Rep,Last Service,Notes
Salem Avenue Laundromat,Darnell Eberhardt,513-555-0159,deberhardt@salemavelaundry.com,"5135 Stroop Rd Suite 4, Dayton, OH 45420",Marcus,4/2/2026,
Ruth Farrukh,,9375550135,ruthfarrukh69@sbcglobal.net,"2472 Brandt Pike, Fairborn, OH 45324",Marcus,,Heat pump + gas backup
Omar Nguyen,Omar Nguyen,513 555-0139,onguyen@yahoo.com,"1875 Woodman Dr, Miamisburg, OH 45342",Priya,"May 16, 2025",Gate code 4412
Xenia Feed & Seed,Hector Larkin,(513) 555-0108,hector@xeniafeedandseed.com,"5694 Dayton-Xenia Rd, Springboro, OH 45066",Marcus,"November 20, 2025",Gate code 4412
Dmitri Brandt,Dmitri Brandt,+1 937 555 0179,dbrandt@outlook.com,"3428 Linden Ave, Kettering, OH 45429",Dana,09/13/25,
Elaine Beaumont,Elaine Beaumont,937-555-0123,beaumont.elaine@yahoo.com,"684 E 3rd St, Dayton, OH 45410",Dana,01/24/26,
Kwame Sprague,,+1 937 555 0137,kwame.sprague@icloud.com,"2350 Dorothy Ln, Springboro, OH 45066",Priya,2024-04-16,Call before arriving
Beavercreek Montessori,Ahmed Ruiz,937.555.0196,office@beavercreekmontessori.org,"5864 Dorothy Ln, Centerville, OH 45459",Priya,23-Aug-2025,Owner travels - tenant is contact
Riverside Community Church,Kathleen Sullivan,513-555-0173,kathleen@riversidecc-dayton.org,"2575 Old Troy Pike Ste 200, Dayton, OH 45420",Dana,"December 22, 2024",Access through alley
Irene Mattson,Irene Mattson,(937) 555-0174,irene.mattson@gmail.com,"3777 Linden Ave, Huber Heights, OH 45424",Dana,"January 22, 2025",Furnace replaced 2024
Salvador Oyelaran,Salvador Oyelaran,+1 513 555 0149,soyelaran@yahoo.com,"5252 Austin Blvd, Huber Heights, OH 45424",Marcus,18-Oct-2025,Billing goes to property manager
Cheryl Beaumont,Cheryl Beaumont,(937) 555-0131,beaumont.cheryl@hotmail.com,"4094 Stroop Rd, Fairborn, OH 45324",Dana,2024-05-27,
Lorraine Schaefer,,5135550158,lorraineschaefer72@gmail.com,"5707 Brandt Pike, Centerville, OH 45459",Marcus,06/16/25,Maintenance plan - spring/fall
Brenda Alvarado,Brenda Alvarado,5135550102,alvarado.brenda@gmail.com,"1910 Taylorsville Rd, Vandalia, OH 45377",Dana,26-Mar-2026,Gate code 4412
Ruth Farrukh,,9375550135,RUTHFARRUKH69@sbcglobal.net,"2472 Brandt Pike, Fairborn, OH 45324",Marcus,"August 7, 2024",
Maureen Gaines,Maureen Gaines,+1 937 555 0180,gaines.maureen@woh.rr.com,"4239 Fairfield Rd, West Carrollton, OH 45449",Dana,02/13/24,Maintenance plan - spring/fall
Wright View Diner,Denise Winslow,937.555.0186,denise@wrightviewdiner.com,"2552 Needmore Rd, Oakwood, OH 45419",Dana,2026-03-04,Net 30
Cheryl Sprague,Cheryl Sprague,(937) 555-0172,csprague@outlook.com,"2366 Woodman Dr, Dayton, OH 45402",Dana,2024-07-21,Elderly - allow extra time
Irene Ibarra,,513.555.0122,ibarra.irene@icloud.com,"8559 Dayton-Xenia Rd, Vandalia, OH 45377",Marcus,9/1/2026,
Nadia Farrukh,Nadia Farrukh,513-555-0105,nadiafarrukh57@yahoo.com,"1970 Old Troy Pike Lot 22, Kettering, OH 45429",Marcus,6/6/2024,Do not schedule before 10am
Dmitri Stroud,,513-555-0141,dmitri.stroud@outlook.com,"9739 Linden Ave, Dayton, OH 45402",Dana,9/27/2024,Spanish speaking
Heritage Funeral Home,Vincent Nguyen,513-555-0121,vincent@heritagefuneral-oh.com,"4235 Taylorsville Rd Ste 200, Kettering, OH 45440",Marcus,08/29/26,
Sunrise Daycare Center,Brenda Kaminski,9375550189,brenda@sunrisedaycare-oh.org,"5238 Kemp Rd Suite 4, Oakwood, OH 45419",Dana,2025-08-08,"Unit on roof, needs ladder"
KWAME OYELARAN,KWAME OYELARAN,+1 513 555 0130,kwameoyelaran95@hotmail.com,"2705 Kemp Rd Lot 22, Kettering, OH 45429",Marcus,2026-07-11,
Wesley Quintero,Wesley Quintero,513 555-0157,wesley.quintero@yahoo.com,"182 Oak Ave, Dayton, OH 45402",Priya,2025-06-17,"Unit on roof, needs ladder"
Denise Alvarado,Denise Alvarado,937.555.0183,denise.alvarado@icloud.com,"3910 Smithville Rd, Oakwood, OH 45419",Dana,"May 8, 2024",Dog in backyard - call first
Hector Ortega,,513.555.0185,hortega@gmail.com,"6372 Miamisburg-Centerville Rd, Miamisburg, OH 45342",Dana,10-Jul-2026,
Marcus Haddad,Marcus Haddad,9375550120,marcus.haddad@yahoo.com,"4342 Beaver Valley Rd, Fairborn, OH 45324",Dana,2026-09-03,Dog in backyard - call first
Irene Osei,,9375550136,iosei@yahoo.com,"9659 Hempstead Station Dr, Miamisburg, OH 45342",Priya,21-Feb-2025,Billing goes to property manager
Northgate Apartments LLC,Patricia Nguyen,937-555-0104,office@northgateapartmentsoh.com,"6507 Maple St, Dayton, OH 45402",Dana,2026-08-31,
Bella Vista Pizzeria,Kwame Duffy,9375550150,kduffy@bellavistapizzaoh.com,"9350 Austin Blvd, Oakwood, OH 45419",Dana,08-Jan-2025,Owner travels - tenant is contact
Nathan Iyer,Nathan Iyer,513-555-0126,nathan.iyer@gmail.com,"5069 Oak Ave Lot 22, Beavercreek, OH 45431",Dana,"July 7, 2024",Key under mat (back door)
Grange Hall Event Center,Nadia Boateng,937 555-0167,nadia.boateng@grangehallevents.com,"4050 N Fairfield Rd, Vandalia, OH 45377",Marcus,10-Jul-2024,Access through alley
Miamisburg Fraternal Hall,Curtis Quintero,513.555.0135,curtis.quintero@miamisburgfraternalhall.org,"5577 Linden Ave, Miamisburg, OH 45342",Dana,"April 24, 2024",Spanish speaking
Janet Hargrove,Janet Hargrove,513.555.0107,jhargrove@gmail.com,"7470 Rahn Rd Unit 12, Kettering, OH 45429",Dana,4/6/2026,"Unit on roof, needs ladder"
Cheryl Osei,Cheryl Osei,(513) 555-0103,cherylosei60@gmail.com,"3653 Bigger Rd, Oakwood, OH 45419",Dana,01-Jul-2025,2 systems (up/down)
Great Miami Brewing Co.,Rosa Vasquez,937.555.0169,rvasquez@greatmiamibrewing.com,"3491 Spring Valley Pike, Dayton, OH 45402",Dana,1/24/2026,
Dmitri Coyle,Dmitri Coyle,513-555-0154,coyle.dmitri@gmail.com,"7211 Patterson Rd, Dayton, OH 45410",Dana,,
Sandra Eberhardt,,513.555.0161,eberhardt.sandra@outlook.com,"5386 Salem Ave, Fairborn, OH 45324",Marcus,2024-01-11,2 systems (up/down)
Elaine Trent,,(513) 555-0177,trent.elaine@woh.rr.com,"5415 Oak Ave Apt 1A, Xenia, OH 45385",Marcus,03-Jul-2024,
Sharon Tolliver,Sharon Tolliver,9375550110,sharon.tolliver@gmail.com,"5310 Patterson Rd, Dayton, OH 45410",Priya,08/19/26,Elderly - allow extra time
Judith Vasquez,,937.555.0156,jvasquez@gmail.com,"8400 Stroop Rd, Dayton, OH 45410",Dana,01-Mar-2026,Furnace replaced 2024
