Submitted On,Email Address,First Name,Last Name,Birthday (MM/DD),Consent
2026-06-02 08:58,CRUZ.MATTHEW@AOL.COM,Matthew,Cruz,,Yes
2026-06-12 12:18,georgeedwards84@outlook.com,George,Edwards,08/25,Yes
2026-06-15 23:24,jessica_tanaka@aol.com,Jessica,Tanaka,,Yes
2026-06-18 08:59,jcruz@gmail.com,Jennifer,Cruz,,Yes
2026-06-24 14:20, sharonrichardson38@gmail.com,Sharon,Richardson,06/25,Yes
2026-06-25 02:30,angelareyes8@icloud.com,Angela,Reyes,,Yes
2026-06-25 14:08,Bennett.deborah@me.com,Deborah,Bennett,,No
2026-06-26 08:40,howard.yuki@icloud.com,Yuki,Howard,,Yes
2026-06-27 03:20,kevin.roberts@aol.com,Kevin,Roberts,11/24,Yes
2026-06-27 09:49,ingrid.smith@aol.com,Ingrid,Smith,09/08,Yes
2026-06-28 13:13,brian_mensah@icloud.com,Brian,Mensah,09/18,Yes
2026-07-05 15:11,mark.cook@me.com,Mark,Cook,10/19,Yes
2026-07-08 16:18,daniel_lindqvist@icloud.com,Daniel,Lindqvist,08/09,Yes
2026-07-08 19:25,phillips.timothy@me.com,Timothy,Phillips,,Yes
2026-07-12 10:29,luis.jackson@icloud.com,Luis,Jackson,02/04,Yes
2026-07-14 03:00,mateo.rivera@yahoo.com ,Mateo,Rivera,09/27,Yes
2026-07-22 20:22,nelson.luis@protonmail.com,Luis,Nelson,06/21,Yes
2026-07-26 23:18,melissa.wilson@protonmail.com,Melissa,Wilson,,Yes
2026-07-27 04:28,JOSEPHRUIZ94@GMAIL.COM,Joseph,Ruiz,12/11,Yes
2026-07-27 08:07,joshua.williams@yahoo.com,Joshua,Williams,,Yes
2026-08-01 18:50,dana_myers@outlook.com,Dana,Myers,12/08,Yes
2026-08-02 04:56,paulreed45@outlook.com,Paul,Reed,11/08,Yes
2026-08-02 22:10,sandra_martin@yahoo.com,Sandra,Martin,03/17,No
2026-08-11 03:48,watson.steven@outlook.com,Steven,Watson,,Yes
2026-08-11 04:45,nadia.wright@me.com,Nadia,Wright,05/02,Yes
2026-08-18 04:08,lee.elizabeth@yahoo.com,Elizabeth,Lee,05/12,Yes
2026-08-19 13:23,cox.ronald@icloud.com,Ronald,Cox,08/04,Yes
