Emberline Hearth & Stove - customer refunds
Printed 09/02/2026
Refund #,Refund Date,Sales Order,Customer,Refund Amount,Reason
RF-2200,04/13/2026,ES-10443,Stephanie Harris,"$7,200.00",Refund
RF-2203,04/19/2026,ES-10419,Joshua Torres,"$10,400.50",Refund
RF-2206,04/21/2026,ES-10442,Andrew Hughes,"$1,005.00",Refund
RF-2209,05/06/2026,ES-10406,Ryan Foster,"$2,710.19",Refund
RF-2212,05/21/2026,ES-10592,Rebecca Davis,"$3,375.48",Refund
RF-2215,06/25/2026,ES-10748,Gary Parker,"$1,083.89",Missing trim pieces
RF-2218,07/02/2026,ES-10681,Mary Wright,"$4,600.48",Cancelled install
RF-2221,07/07/2026,ES-10792,Dorothy Gutierrez,"$14,325.95",Cancelled install - full refund
RF-2224,07/10/2026,ES-10767,Sharon Collins,"$2,550.00",Service credit
RF-2227,07/12/2026,ES-10985,Stephanie Nelson,"$4,925.50",Cancelled - full refund
RF-2230,07/24/2026,ES-10912,Chloe Morris,$365.05,Service credit
RF-2233,07/29/2026,ES-10984,Chloe Okafor,"$14,450.00",Cancelled install
RF-2236,07/31/2026,ES-10781,Amanda Garcia,"$3,300.00",Returned blower kit
RF-2239,08/01/2026,ES-10705,Leila Thomas,"$1,368.99",Refund
RF-2242,08/05/2026,ES-10748,Gary Parker,"$1,806.49",Damaged glass door
RF-2245,08/12/2026,ES-10970,Rebecca Gonzalez,"$3,410.00",Cancelled install
RF-2248,08/12/2026,ES-11095,Jennifer Gonzalez,"$3,950.95",Refund
RF-2251,08/16/2026,ES-10551,Sofia King,"$2,245.19",Hearth pad returned
RF-2254,08/16/2026,ES-10574,Jeffrey Brown,"$4,987.98",Warranty goodwill refund
RF-2257,08/22/2026,ES-11093,Emily Watson,"$2,406.25",Price adjustment
RF-2260,08/24/2026,ES-11028,Richard Jones,"$3,225.50",Returned accessory
