Date,Therapist,Email,Start,End,Room
08/03/26,Lena Fischer,lena.fischer@northshorephysio.example,08:00,11:00,Room 1
"August 03, 2026",Sam Okafor,sam.okafor@northshorephysio.example,13:00,16:00,Room 1
08/03/26,Diego Ramos,diego.ramos@northshorephysio.example,4pm,7pm,Gym
04-Aug-2026,priya nair,priya.nair@northshorephysio.example,8:00,11:00,Room 1
2026-08-04,Marcus Bell,marcus.bell@northshorephysio.example,4:00 PM,7:00 PM,Gym
"August 05, 2026",Hana Sato,hana.sato@northshorephysio.example,08:00,11:00,Room 1
05-Aug-2026,Lena Fischer,lena.fischer@northshorephysio.example,1:00 PM,4:00 PM,Room 2
05-Aug-2026,Priya Nair,priya.nair@northshorephysio.example,1pm,4pm,Room 3
"August 05, 2026",Diego Ramos,diego.ramos@northshorephysio.example,16:00,19:00,Gym
08/06/26,Sam Okafor,sam.okafor@northshorephysio.example,08:00,11:00,Room 2
08/07/2026,Lena Fischer,lena.fischer@northshorephysio.example,9:00,12:00,Room 1
07-Aug-2026,Marcus Bell,marcus.bell@northshorephysio.example,1:00 PM,4:00 PM,Room 2
08-Aug-2026,Hana Sato,hana.sato@northshorephysio.example,9am,12pm,Room 2
10-Aug-2026,Lena Fischer,lena.fischer@northshorephysio.example,8am,11am,Room 1
10-Aug-2026,Sam Okafor,sam.okafor@northshorephysio.example,13:00,16:00,Room 1
08/10/2026,Diego Ramos,diego.ramos@northshorephysio.example,16:00,19:00,Gym
08/11/2026,PRIYA NAIR,priya.nair@northshorephysio.example,8:00,11:00,Room 1
08/11/2026,Marcus Bell,marcus.bell@northshorephysio.example,16:00,19:00,Gym
12-Aug-2026,Hana Sato ,hana.sato@northshorephysio.example,8:00 AM,11:00 AM,Room 1
08/12/2026,Lena Fischer,lena.fischer@northshorephysio.example,13:00,16:00,Room 2
2026-08-12,Priya Nair,priya.nair@northshorephysio.example,1pm,4pm,Room 3
2026-08-12,Diego Ramos,diego.ramos@northshorephysio.example,4:00 PM,7:00 PM,Gym
08/13/2026,Sam Okafor,sam.okafor@northshorephysio.example,08:00,11:00,Room 2
14-Aug-2026,Lena Fischer,lena.fischer@northshorephysio.example,9:00 AM,12:00 PM,Room 1
14-Aug-2026,Marcus Bell,marcus.bell@northshorephysio.example,13:00,16:00,Room 2
08/15/2026,Hana Sato,hana.sato@northshorephysio.example,9:00,12:00,Room 2
08/17/2026,Lena Fischer,lena.fischer@northshorephysio.example,08:00,11:00,Room 1
17-Aug-2026,Sam Okafor,sam.okafor@northshorephysio.example,13:00,16:00,Room 1
08/17/2026,Diego Ramos,diego.ramos@northshorephysio.example,16:00,19:00,Gym
08/18/26,Priya Nair,priya.nair@northshorephysio.example,8:00 AM,11:00 AM,Room 1
"August 18, 2026",Marcus Bell,marcus.bell@northshorephysio.example,16:00,19:00,Gym
08/19/26,Hana Sato ,hana.sato@northshorephysio.example,8am,11am,Room 1
08/19/2026,Lena Fischer,lena.fischer@northshorephysio.example,13:00,16:00,Room 2
19-Aug-2026,Priya Nair,priya.nair@northshorephysio.example,1:00 PM,4:00 PM,Room 3
08/19/2026,Diego Ramos,diego.ramos@northshorephysio.example,4pm,7pm,Gym
08/20/26,Sam Okafor,sam.okafor@northshorephysio.example,8:00,11:00,Room 2
"August 21, 2026",Lena Fischer,lena.fischer@northshorephysio.example,9am,12pm,Room 1
21-Aug-2026,Marcus Bell,marcus.bell@northshorephysio.example,13:00,16:00,Room 2
22-Aug-2026,Hana Sato,hana.sato@northshorephysio.example,09:00,12:00,Room 2
08/24/2026,Lena Fischer,lena.fischer@northshorephysio.example,8am,11am,Room 1
08/24/2026,Sam Okafor,sam.okafor@northshorephysio.example,1:00 PM,4:00 PM,Room 1
08/24/26,diego ramos,diego.ramos@northshorephysio.example,4pm,7pm,Gym
08/25/2026,Priya Nair,priya.nair@northshorephysio.example,8am,11am,Room 1
08/25/2026,Marcus Bell,marcus.bell@northshorephysio.example,16:00,19:00,Gym
08/26/2026,Hana Sato,hana.sato@northshorephysio.example,8:00,11:00,Room 1
26-Aug-2026,Lena Fischer,lena.fischer@northshorephysio.example,13:00,16:00,Room 2
08/26/26,Priya Nair,priya.nair@northshorephysio.example,13:00,16:00,Room 3
"August 26, 2026",Diego Ramos,diego.ramos@northshorephysio.example,16:00,19:00,Gym
08/27/2026,Sam Okafor ,sam.okafor@northshorephysio.example,8:00,11:00,Room 2
2026-08-28,Lena Fischer,lena.fischer@northshorephysio.example,9:00,12:00,Room 1
"August 28, 2026",Marcus Bell,marcus.bell@northshorephysio.example,1:00 PM,4:00 PM,Room 2
2026-08-29,hana sato,hana.sato@northshorephysio.example,9am,12pm,Room 2
31-Aug-2026,Lena Fischer ,lena.fischer@northshorephysio.example,8:00,11:00,Room 1
"August 31, 2026",Sam Okafor,sam.okafor@northshorephysio.example,1:00 PM,4:00 PM,Room 1
2026-08-31,diego ramos,diego.ramos@northshorephysio.example,4pm,7pm,Gym
