Lead ID,Created,First Name,Last Name,Email,Phone,Interested In,Campaign Code,Stage,Deal Value,Close Date
L-5297,03/20/2026 07:12 AM,Kimberly,Davis,kimberly.davis@icloud.com,(919) 555-4543,Instrument Rating,GADS-PPL-Q2|utm_medium=video,Discovery Flight Scheduled,"$10,450.00",
L-5298,03/21/2026 07:13 AM,Amy,Nelson,amynelson5@icloud.com,617.555.9837,Private Pilot Package,YT-PREROLL-PPL,Discovery Flight Scheduled,,
L-5299,03/21/2026 03:03 PM,Shirley,Ward,shirley.ward@aol.com,+1 608 555 2995,Discovery Flight,IG-DISC-SPRING&gclid=Cj0KCQjwXEURt1C71d0rPt,Discovery Flight Scheduled,,
L-5300,03/22/2026 01:47 PM,Gary,Wilson,gary_wilson@yahoo.com,512.555.2687,Block Time 10 hrs,GADS-DISC-Q2,New,,
L-5301,03/22/2026 08:00 PM,Joseph,Allen,joseph.allen@outlook.com,+1 971 555 7960,Discovery Flight,,Contacted,$189.00,
L-5302,03/22/2026 08:22 PM,Jeffrey,Lopez,lopez.jeffrey@hotmail.com,608-555-6767,Discovery Flight,GADS-PPL-Q2&gclid=Cj0KCQjwcCTdWv2AdQ12Xk,New,,
L-5303,03/23/2026 07:47 AM,Kathleen,Clark,clark.kathleen@outlook.com,(919) 555-2303,Instrument Rating,,Discovery Flight Scheduled,,
L-5304,03/23/2026 01:27 PM,Joshua,Scott,scott.joshua@outlook.com,617.555.2850,Discovery Flight,IG-DISC-SPRING,Closed Lost,$189.00,04/26/2026
L-5305,03/23/2026 03:35 PM,Carlos,Lewis,carlos.lewis@hotmail.com,+1 206 555 5666,Private Pilot Package,GADS-PPL-Q2%20,Closed Won,"$15,500.00",04/27/2026
L-5306,03/23/2026 05:09 PM,John,Ward,johnward81@me.com,919-555-8710,Commercial Pilot,REF-CAP-SQDN,New,,
L-5307,03/24/2026 11:16 AM,Sofia,Taylor,taylor.sofia@yahoo.com,(415) 555-6093,Discovery Flight,GADS-DISC-Q2|utm_medium=video,Contacted,,
L-5308,03/24/2026 07:32 PM,Sarah,Foster,sarah.foster@outlook.com,720.555.6796,Private Pilot Package,IG-REEL-CHECKRIDE&gclid=Cj0KCQjwFy2Sec9cHs9bKU,Closed Won,"$14,800.00",04/27/2026
L-5309,03/25/2026 11:09 AM,Fatima,Walker,fatima.walker@aol.com,+1 919 555 1030,Discovery Flight,EVT-SF-OUTDOOR-EXPO?utm_source=event&utm_medium=cpc&utm_campaign=evt-sf-outdoor-expo,New,,
L-5310,03/25/2026 09:25 PM,Nadia,Gomez,nadia_gomez@yahoo.com,+1 608 555 5933,Commercial Pilot,gads-ppl-q2?utm_source=google,Closed Won,"$26,250.00",03/31/2026
L-5311,03/26/2026 08:08 AM,Donna,White,white.donna@aol.com,303-555-5416,Commercial Pilot,GADS-PPL-Q2?utm_source=google&utm_medium=cpc&utm_campaign=gads-ppl-q2,Proposal Sent,"$25,500.00",
L-5312,03/27/2026 04:46 PM,Linda,Cook,linda.cook@icloud.com,(206) 555-1421,Private Pilot Package,GADS-DISC-Q2,New,,
L-5313,03/28/2026 07:45 AM,Shirley,Allen,sallen@me.com,206.555.4555,Private Pilot Package,GADS-PPL-Q3|utm_source=google,Proposal Sent,"$16,250.00",
L-5314,03/28/2026 08:47 AM,Joshua,Morris,jmorris@hotmail.com,+1 919 555 7126,Discovery Flight,gads-ppl-q2?utm_source=google,Closed Won,$189.00,05/02/2026
L-5315,03/28/2026 10:45 AM,Betty,King,bking@protonmail.com,608-555-8518,Block Time 10 hrs,utm_source=google&utm_medium=organic,New,,
L-5316,03/28/2026 01:18 PM,Aisha,Sanchez,aisha.sanchez@protonmail.com,(971) 555-4028,Discovery Flight,ig-reel-checkride?utm_source=instagram,Proposal Sent,$189.00,
L-5317,03/28/2026 07:49 PM,Joshua,Peterson,joshua_peterson@gmail.com,971.555.5765,Discovery Flight, EVT-SF-OUTDOOR-EXPO ,Proposal Sent,$189.00,
L-5318,03/30/2026 08:09 AM,Omar,Torres,omar_torres@aol.com,+1 608 555 4618,Discovery Flight,GADS-PPL-Q2,Closed Lost,$189.00,05/07/2026
L-5319,03/30/2026 08:22 AM,Mary,Collins,mary_collins@protonmail.com,512-555-3897,Private Pilot Package,YT-FIRSTSOLO%20,Closed Won,"$15,050.00",04/03/2026
L-5320,03/30/2026 04:27 PM,Barbara,Patel,patel.barbara@hotmail.com,971-555-6543,Discovery Flight,NEWS-APR&gclid=Cj0KCQjwERe4DM085BcmrH,Discovery Flight Scheduled,,
L-5321,03/30/2026 04:44 PM,Anthony,Mensah,anthonymensah91@hotmail.com,(919) 555-5672,Discovery Flight,,Closed Lost,$189.00,04/17/2026
L-5322,03/30/2026 05:44 PM,Richard,Richardson,richardrichardson4@aol.com,415.555.1103,Discovery Flight,IG-DISC-SPRING|utm_medium=video,Closed Lost,$189.00,04/08/2026
L-5323,03/30/2026 07:07 PM,Jason,Davis,davis.jason@me.com,+1 617 555 2784,Instrument Rating,IG-DISC-SPRING%20,Closed Lost,"$10,000.00",05/05/2026
L-5324,03/31/2026 10:45 AM,Christopher,Baker,cbaker@outlook.com,971-555-7352,Private Pilot Package,GADS-DISC-Q2,Contacted,"$15,950.00",
L-5325,03/31/2026 12:14 PM,Sarah,Wood,swood@yahoo.com,(206) 555-7148,Private Pilot Package,GADS-PPL-Q2,New,"$15,950.00",
L-5326,03/31/2026 12:21 PM,Jeffrey,Gutierrez,jeffrey.gutierrez@gmail.com,206.555.2665,Commercial Pilot,YT-FIRSTSOLO,Discovery Flight Scheduled,,
L-5327,03/31/2026 03:01 PM,Amy,Adams,amy.adams@me.com,+1 303 555 2344,Discovery Flight,IG-REEL-CHECKRIDE?utm_source=instagram&utm_medium=cpc&utm_campaign=ig-reel-checkride,Proposal Sent,$189.00,
L-5328,03/31/2026 03:43 PM,Eric,Wood,wood.eric@gmail.com,802-555-6849,Private Pilot Package,REF-CAP-SQDN,Closed Won,"$14,750.00",04/21/2026
L-5329,04/01/2026 01:56 PM,Deborah,Green,deborahgreen80@gmail.com,(802) 555-7406,Discovery Flight,gads-ppl-q2,Closed Won,$189.00,04/13/2026
L-5330,04/02/2026 09:27 PM,Mark,Brooks,mark_brooks@protonmail.com,(415) 555-5393,Discovery Flight,EVT-SF-OUTDOOR-EXPO,Closed Lost,$189.00,04/21/2026
