Cascade Data Summit 2026 - registration export
Generated 09/22/2026 07:15 by registration@summit
Reg ID,Attendee,Email,Ticket Type,Amount Paid,Registered On,Status
REG-1001,"Okafor, Deborah",deborah.okafor@hotmail.com,Full conference,$ 895.00,09/11/2026,Registered
REG-1002,"Morris, Joshua",morris.joshua@icloud.com,Full conference,$895.00,10-Sep-2026,Registered
REG-1003,"Foster, Sarah",foster.sarah@hotmail.com,Full conference,895.00,"June 10, 2026",Registered
REG-1004,"Ruiz, Elizabeth",elizabeth_ruiz@yahoo.com,Full conference,$ 895.00,2026-08-02,Registered
REG-1005,"Brooks, Omar",brooks.omar@me.com,Full conference,$895.00,08/25/2026,Registered
REG-1006,"Davis, Kimberly",kimberly.davis@yahoo.com,Full conference,895.00,14-Aug-2026,Registered
REG-1007,"Watson, Chloe",watson.chloe@me.com,Full conference,$ 895.00,"July 28, 2026",Registered
REG-1008,"Alvarez, Carol",calvarez@icloud.com,Full conference,$895.00,2026-07-04,Registered
REG-1009,"Mensah, Charles",charles_mensah@yahoo.com,Full conference,895.00,05/24/2026,Registered
REG-1010,"Morales, Angela",angelamorales14@hotmail.com,Full conference,$ 895.00,06/04/2026,Registered
REG-1011,"Clark, Anna",clark.anna@hotmail.com,Full conference,$895.00,25-Aug-2026,Registered
REG-1012,"Green, Deborah",dgreen@hotmail.com,Full conference,895.00,"June 20, 2026",Registered
REG-1013,"Jones, Nancy",nancyjones79@me.com,Full conference,$ 895.00,2026-05-21,Registered
REG-1014,"Martin, Thomas",thomas.martin@protonmail.com,Full conference,$895.00,07/13/2026,Cancelled
REG-1015,"Ramirez, Donald",ramirez.donald@protonmail.com,Full conference,895.00,13-Jul-2026,Registered
REG-1016,"Chavez, Dmitri",dmitrichavez90@yahoo.com,Full conference,$ 895.00,"July 26, 2026",Registered
REG-1017,"Ramos, Gary",garyramos81@icloud.com,Full conference,$895.00,2026-07-05,Cancelled
REG-1018,"Anderson, Paul",panderson@aol.com,Full conference,895.00,06/16/2026,Registered
REG-1019,"Gonzalez, Linda",lgonzalez@gmail.com,Full conference,$ 895.00,22-May-2026,Registered
REG-1020,"Harris, Yuki",harris.yuki@yahoo.com,Full conference,$895.00,12-Aug-2026,Registered
REG-1021,"Jones, Joseph",joseph.jones@icloud.com,Full conference,895.00,"June 20, 2026",Registered
REG-1022,"Clark, Kathleen",kathleen.clark@gmail.com,Full conference,$ 895.00,2026-08-20,Registered
REG-1023,"Rodriguez, Kimberly",kimberly.rodriguez@hotmail.com,Full conference,$895.00,08/01/2026,Registered
REG-1024,"Cook, Linda",linda.cook@yahoo.com,Full conference,895.00,12-Aug-2026,Registered
REG-1025,"Myers, Dorothy",myers.dorothy@outlook.com,Full conference,$ 895.00,"June 25, 2026",Registered
REG-1026,"Haddad, Linda",lhaddad@outlook.com,Full conference,$895.00,2026-07-30,Cancelled
REG-1027,"Kim, Jessica",jkim@gmail.com,Full conference,895.00,09/01/2026,Registered
REG-1028,"Rogers, Carlos",carlosrogers40@protonmail.com,Full conference,$ 895.00,07-Jul-2026,Registered
REG-1029,"Johnson, Tomasz",tomasz.johnson@aol.com,Full conference,$895.00,"May 15, 2026",Registered
REG-1030,"Walker, Sarah",sarah_walker@aol.com,Full conference,895.00,"July 16, 2026",Registered
