Customer ID,First Name,Last Name,Email,Orders Count,Total Spent
7391096787,Deborah,Okafor,okafor.deborah@protonmail.com,1,49.00
7391180437,Rebecca,Garcia,rebecca.garcia@yahoo.com,2,114.00
7304884456,Kimberly,Rogers,krogers@icloud.com,1,26.45
7303057825,Gary,Phillips,gary_phillips@gmail.com,2,89.45
7340407795,Joshua,Morris,joshua_morris@hotmail.com,2,52.95
7333646685,Dorothy,Howard,dorothy_howard@icloud.com,3,180.95
7316628927,Margaret,Cook,margaret.cook@aol.com,1,44.95
7336938170,Sarah,Torres,sarahtorres29@outlook.com,3,192.45
7315721498,Sarah,Foster,sfoster@aol.com,4,172.45
7363300491,Richard,Richardson,richard.richardson@gmail.com,1,24.50
7317762948,Marcus,Cox,marcus_cox@protonmail.com,1,50.95
7334914494,Richard,Myers,myers.richard@outlook.com,6,623.95
7394668208,Elizabeth,Ruiz,eruiz@me.com,2,68.00
7315732041,Kevin,Stewart,kevinstewart49@outlook.com,2,125.00
7319643903,Wei,Gonzalez,gonzalez.wei@me.com,3,189.50
7345085956,Dorothy,Parker,parker.dorothy@protonmail.com,2,88.45
7378795832,Kenneth,Ward,kenneth_ward@me.com,7,510.45
7398178821,Yuki,Clark,yukiclark87@me.com,1,74.00
7352507238,Priya,Morris,pmorris@icloud.com,2,261.00
7308198675,Jeffrey,Gutierrez,jeffreygutierrez2@aol.com,1,84.00
7326117555,Kimberly,Davis,kimberly.davis@outlook.com,2,57.00
7388263752,Priya,Johnson,johnson.priya@outlook.com,6,568.00
7360473556,Barbara,Patel,patel.barbara@hotmail.com,1,104.00
7323463874,Stephanie,Alvarez,stephanie_alvarez@yahoo.com,3,159.45
7381891021,Chloe,Watson,watson.chloe@gmail.com,6,372.95
7344999241,James,Ward,jward@outlook.com,5,309.95
7384576944,Amy,Nelson,amynelson6@gmail.com,1,66.00
7376385018,Ashley,Myers,ashley_myers@aol.com,3,175.45
7377303096,Carol,Alvarez,calvarez@me.com,4,278.00
7385060196,David,Harris,harris.david@protonmail.com,6,388.95
7302904003,Carlos,Lewis,lewis.carlos@gmail.com,2,177.50
7366123086,Donald,Mensah,donald.mensah@yahoo.com,2,77.50
7316065254,Charles,Mensah,charles_mensah@icloud.com,2,63.00
7305186383,Anna,Edwards,edwards.anna@protonmail.com,3,143.95
7322739785,Barbara,Hernandez,barbara_hernandez@icloud.com,5,253.00
7380099984,Kenneth,Rogers,kenneth.rogers@outlook.com,1,44.45
7370033481,Gary,Wilson,wilson.gary@hotmail.com,7,678.45
7364321652,Joshua,Peterson,joshua.peterson@me.com,3,178.00
7328883828,Donna,Alvarez,donnaalvarez34@protonmail.com,3,242.95
7380058851,Jessica,Peterson,jessica_peterson@gmail.com,4,274.95
7396383539,Kevin,Cooper,kcooper@icloud.com,5,394.95
7383295518,Anthony,Mensah,anthonymensah37@gmail.com,4,153.00
7357125592,Ingrid,Peterson,ingrid_peterson@protonmail.com,1,22.95
7331608507,Amara,Torres,amara_torres@yahoo.com,7,380.95
7336994985,Jeffrey,Lopez,jlopez@aol.com,1,140.00
7365289435,Luis,Mensah,luis.mensah@me.com,5,424.40
7321234402,Deborah,Green,deborah_green@gmail.com,2,311.50
7329589712,Fatima,Walker,fatima_walker@outlook.com,5,327.40
7341801574,Donna,White,donna.white@outlook.com,3,153.45
7324826513,Matthew,White,matthewwhite81@yahoo.com,3,208.50
7361465572,John,Ward,ward.john@aol.com,3,176.50
7373057326,Dmitri,King,dmitri_king@me.com,4,439.95
7393861560,Nightjar,Test,ops@nightjar.coffee,4,168.00
