Member #,First Name,Last Name,Email,Phone,Plan,Joined,Expires,Fee,Trainer,Status,Date of Birth,Notes
M-00548,William,Martinez,william_martinez@outlook.com,+1 971 555 3821,Quarterly,05/06/2020,07/16/2026,180,Kofi Mensah,Cancelled,10/28/1967,Prefers mornings
M-01816,Dmitri,Green,dmitri.green@outlook.com,720.555.6871,ANNUAL,"September 01, 2019",05/02/2027,660.00,,ACTIVE,1996-04-03,
M-00452,Carlos,Ward,carlos_ward@me.com,+1 303 555 8485,Annual,07/27/23,"October 31, 2027",660.00,,ACTIVE,11/30/1977,Corporate discount ended
M-02597,Nadia,Robinson,nadiarobinson43@yahoo.com,919-555-2385,Monthly ,"June 10, 2022","March 10, 2025",$65.00,Kofi Mensah,CANCELLED,01/14/1965,
M-01358,Mark,Mensah,mark.mensah@yahoo.com,+1 (971) 555-4120,Monthly,19-May-2024,03/05/27,65,Ravi Desai,Active,10/27/1997,Prefers mornings
M-00565,Shirley,Torres,storres@outlook.com,+1 (802) 555-1718,Monthly,06/09/19,03/02/27,$65.00,Jess Alvarez,active,03/12/1997,
M-01536,Timothy,Ruiz,timothyruiz39@me.com,+1 971 555 8394,Annual ,09/07/2020,2027-11-09,$ 660.00,Jess Alvarez,active,08/03/1998,
M-00271,Sarah,Thomas,sarah.thomas@gmail.com,206.555.4804,Annual,05/24/2024,"June 26, 2027",$ 660.00,Ravi Desai,active,10/26/1972,Prefers mornings
M-01481,Charles,Kim,ckim@icloud.com,802-555-9926,QUARTERLY,10/23/2025,"May 22, 2027",180.00,,Active,09/06/1952,Knee injury - check with trainer
M-00174,Luis,Price,luis_price@yahoo.com,415-555-9814,MONTHLY,2020-06-15,30-Mar-2027,65.00,,ACTIVE,05/20/1977,
M-02193,George,Parker,george.parker@protonmail.com,(512) 555-5790,Monthly,"September 30, 2023",21-Jan-2026,$ 65.00,,Expired,1998-08-29,Moved from Off-Peak
M-00121,Kenneth,Stewart,kenneth.stewart@hotmail.com,617.555.3139,quarterly,"April 22, 2025",18-Mar-2026,$180.00,,Cancelled,06-Sep-1990,Moved from Off-Peak
M-02556,Yuki,Davis,davis.yuki@icloud.com,9715554406,Annual,02/03/22,07-Dec-2027,$660.00,,Active,08/24/1982,
M-01995,Deborah,Nelson,deborah.nelson@outlook.com,(303) 555-9751,annual,01/23/2021,2027-03-13,660.00,,Active,30-May-1986,Referred by a friend
M-02179,Laura,Clark,lclark@protonmail.com,(919) 555-9468,Monthly ,30-Mar-2020,2025-11-12,65.00,,Expired,1991-06-16,Student ID on file
M-02265,Chloe,Nguyen,cnguyen@icloud.com,608-555-5480,Monthly,08/04/2021,03/12/2027,$65.00,,active,09/27/1999,Student ID on file
M-01322,Jessica,Wright,jessica_wright@aol.com,971-555-1873,Annual,09/18/2021,22-Nov-2024,$660.00,,Canceled,05/22/1978,
M-00657,Andrew,Okafor,andrew.okafor@gmail.com,802.555.4248,Monthly,2025-09-30,04/29/2027,$ 65.00,Jess Alvarez,Active,04/09/1998,
M-00236,Stephanie,Patel,patel.stephanie@gmail.com,+1 (720) 555-9315,Monthly,"April 05, 2023",2025-08-09,65,Jess Alvarez,CANCELLED,17-Mar-1989,
M-00136,Ethan,Whitfield,thewhitfields@gmail.com,9715552033,MONTHLY,2019-11-02,"March 08, 2027",$65.00,,Active,05/14/2000,
M-00250,Linda,Jackson,ljackson@outlook.com,+1 415 555 6291,Monthly,"November 25, 2024",05-Mar-2027,$ 65.00,Kofi Mensah,ACTIVE,19-Nov-1984,
M-01759,John,Johnson,johnson.john@gmail.com,(720) 555-4986,MONTHLY,09/19/2026,"April 26, 2027",65.00,,Active,05/04/1989,
M-01034,Carlos,Osei,carlos.osei@hotmail.com,415.555.8869,Quarterly ,06/01/26,03/10/2027,$ 180.00,,ACTIVE,02/05/1990,
2445,Nadia,Foster,Nadia_foster@protonmail.com,1-608-555-1650,Monthly,"June 02, 2026",03/17/27,$ 65.00,Ravi Desai,Active,02/01/1954,
M-00673,Nicholas,Reyes,reyes.nicholas@protonmail.com,(617) 555-7271,Quarterly,28-Feb-2023,"April 21, 2026",$180.00,mia kowalczyk,Active,03/01/1978,Student ID on file
M-01612,Ingrid,Chavez,ingridchavez2@outlook.com,617-555-6093,Monthly ,03-Feb-2020,03-Apr-2027,65,Tom Brennan,active,04/12/1969,Student ID on file
M-01533,Steven,Rivera,steven.rivera@yahoo.com,+1 617 555 4434,Monthly ,2021-01-29,03/29/27,65,,active,02-Jul-1963,Corporate discount ended
M-01297,Martin,Whitfield,martinwhitfield73@outlook.com,5125553659,Monthly,17-May-2026,"April 07, 2027",$65.00,,ACTIVE,04/03/2003,Referred by a friend
M-01975,Michelle,Rodriguez,michelle_rodriguez@gmail.com,617-555-3844,Annual,17-Dec-2019,05/28/27,660,Ravi Desai,Active,10/30/1996,Corporate discount ended
M-00504,Stephanie,Hughes,hughes.stephanie@protonmail.com,608-555-9015,Annual,"November 27, 2025",2027-04-19,660,,ACTIVE,02-Jul-1953,Prefers mornings
M-00138,Kwame,Wood,kwame_wood@aol.com,608-555-6895,Annual,01/16/24,2027-11-09,660,,ACTIVE,05/14/1968,Paid by card on file
M-02261,Joseph,Okafor,jokafor@gmail.com,720-555-9900,monthly,2024-12-31,15-Apr-2027,65,Kofi Mensah,ACTIVE,10/17/1958,Referred by a friend
M-00342,Jason,Wright,jason.wright@icloud.com,802-555-7958,annual,05/12/2023,"March 31, 2027",$660.00,,Active,1996-12-12,
M-00562,Hiroshi,Parker,hiroshi.parker@yahoo.com,802.555.5346,Quarterly,2026-06-03,2027-05-04,$ 180.00,Tom Brennan,ACTIVE,17-Sep-1958,
M-01698,Anna,Price,anna_price@me.com,9715552040,Monthly,"May 29, 2021",21-Apr-2027,$ 65.00,Kofi Mensah,Active,01/31/1993,
M-02108,Mark,Alvarez,malvarez@me.com,802-555-1126,Annual,"March 15, 2024",01/01/2026,660.00,Tom Brennan,Active,1971-04-05,Corporate discount ended
M-02456,Charles,Cruz,ccruz@aol.com,+1 720 555 7179,ANNUAL,06/30/19,"April 09, 2027",660,,Active,2002-04-14,Student ID on file
M-00886,Dmitri,Collins,dmitri_collins@protonmail.com,1-512-555-2351,Monthly,17-Jan-2021,"March 21, 2027",$ 65.00,,Active,09/27/1987,
M-00506,Deborah,Anderson,deborah_anderson@icloud.com,+1 (608) 555-2662,Quarterly,"October 04, 2023",19-May-2027,180.00,Jess Alvarez,ACTIVE,11/07/1972,
M-01588,Angela,Murphy,angela.murphy@yahoo.com,608.555.3655,MONTHLY,20-Dec-2023,03/09/2027,$65.00,Aiko Tanaka,Active,29-Feb-1964,Moved from Off-Peak
